emr_horario1_table_data
Semester,Course,Course Name,Section,Credits,Capacity,Days,Hours,Room,Professor,Id
2020S2,FISI3091,ELEMENTS OF PHYSICS,040,3,30,M  W  F,10:30 am - 11:20 am,325,Carlos Pabon Ortiz,479673
2020S2,FISI3091,ELEMENTS OF PHYSICS,041,3,32,M  W  F,10:30 am - 11:20 am,322,Samuel Santana Colon,479676
2020S2,FISI3091,ELEMENTS OF PHYSICS,060,3,30,M  W  F,12:30 pm - 1:20 pm,325,Carlos Pabon Ortiz,479679
2020S2,FISI3091,ELEMENTS OF PHYSICS,070,3,33,M  W  F,1:30 pm - 2:20 pm,322,Kevin Vargas Velez,479691
2020S2,FISI3092,Elements Of Physics Lab,026,1,22,Th,8:30 am - 10:20 am,F220,DIANA LIZA CASTILLO,479701
2020S2,FISI3092,Elements Of Physics Lab,060,1,22,M,12:30 pm - 2:20 pm,F220,DIANA LIZA CASTILLO,479711
2020S2,FISI3092,Elements Of Physics Lab,080,1,22,W,2:30 pm - 4:20 pm,F220,DIANA LIZA CASTILLO,479722
2020S2,FISI3092,Elements Of Physics Lab,086,1,23,Tu,2:30 pm - 4:20 pm,F220,DIANA LIZA CASTILLO,479724
2020S2,FISI3151,Modern College Physics I,010,3,32,M  W  F,7:30 am - 8:20 am,325,Cesar Augusto Pollack Chinchay,482450
2020S2,FISI3151,Modern College Physics I,020,3,32,M  W  F,8:30 am - 9:20 am,325,Cesar Augusto Pollack Chinchay,482451
2020S2,FISI3151,Modern College Physics I,036,3,32,Tu  Th,9:00 am - 10:15 am,325,Cesar Augusto Pollack Chinchay,482452
2020S2,FISI3151,Modern College Physics I,030,3,31,M  W  F,9:30 am - 10:20 am,325,Cesar Augusto Pollack Chinchay,482453
2020S2,FISI3151,Modern College Physics I,096,3,,Tu  Th,3:30 pm - 4:45 pm,325,Cesar Augusto Pollack Chinchay,482454
2020S2,FISI3152,Modern College Physics II,020,3,31,M  W  F,8:30 am - 9:20 am,323,Pablo J Marrero Soto,482455
2020S2,FISI3152,Modern College Physics II,050,3,31,M  W  F,11:30 am - 12:20 pm,323,Kevin Vargas Velez,482456
2020S2,FISI3152,Modern College Physics II,036,3,30,Tu  Th,9:00 am - 10:15 am,323,Neida M. Santacruz Sarmiento,482457
