"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-26","PR","B",1432,1187,0,245,,,451,0,,82,305972,0,,,303412,,80,72443,68461,1019,0,53157,,,,7002,62579,,0,378415,1019,,,,,,0,310546,0
"2020-12-25","PR","B",1432,1187,9,245,,,475,0,,87,305972,0,,,303412,,90,71424,67426,616,0,51457,,,,7002,60901,,0,377396,616,,,,,,0,310546,0
"2020-12-24","PR","B",1423,1179,15,244,,,534,0,,90,305972,0,,,303412,,88,70808,66871,320,0,51209,,,,7002,59690,,0,376780,320,,,,,,0,310546,0
"2020-12-23","PR","B",1408,1166,17,242,,,537,0,,86,305972,0,,,303412,,87,70488,66583,576,0,51097,,,,7002,58562,,0,376460,576,,,,,,0,310546,0
"2020-12-22","PR","B",1391,1150,9,241,,,535,0,,93,305972,0,,,303412,,97,69912,66067,1063,0,50791,,,,7002,57458,,0,375884,1063,,,,,,0,310546,0
"2020-12-21","PR","B",1382,1141,14,241,,,520,0,,94,305972,0,,,303412,,104,68849,65064,416,0,50323,,,,7002,57407,,0,374821,416,,,,,,0,310546,0
"2020-12-20","PR","B",1368,1125,26,243,,,540,0,,94,305972,0,,,303412,,101,68433,64697,1222,0,50177,,,,7002,55454,,0,374405,1222,,,,,,0,310546,0
"2020-12-19","PR","B",1342,1102,9,240,,,558,0,,97,305972,0,,,303412,,106,67211,64182,1079,0,49859,,,,7002,55964,,0,373183,1079,,,,,,0,310546,0
"2020-12-18","PR","B",1333,1094,10,239,,,575,0,,97,305972,0,,,303412,,96,66132,63075,1381,0,49060,,,,7002,55628,,0,372104,1381,,,,,,0,310546,0
"2020-12-17","PR","B",1323,1086,11,237,,,602,0,,99,305972,0,,,303412,,100,64751,61783,1065,0,48083,,,,7002,55479,,0,370723,1065,,,,,,0,310546,0
